"File","correct_letter","literal_letter","literal_source_column","humor_style","humor_style_secondary","contextual_knowledge","contextual_knowledge_secondary","correct_answer_char_len","data_quality_flags","sheet_row"
"1actpx8","D","C","Exp3","Sarcasm/Irony","Surprise","Hobby","Pop culture","162","","2"
"1af8odu","A","C","Exp2","Wordplay","Sarcasm/Irony","Pop culture","Social conventions","446","","3"
"1ajzxfm","B","D","Exp3","Comparison","Exaggeration","Logical","General knowledge","713","","4"
"1amtoff","A","C","Exp2","Incongruity","Sarcasm/Irony","General knowledge","politics","135","","5"
"1aoxsw3","A","D","Exp3","Comparison","Situational","Technical","General knowledge","189","wrapping_quotes_stripped","6"
"1asrnb3","B","C","Exp3","Exaggeration","Comparison","Pop culture","Hobby","346","","7"
"1aya611","C","D","Exp3","Sarcasm/Irony","Exaggeration","Social conventions","Logical","164","","8"
"1b03bqv","D","C","Exp3","Incongruity","Sarcasm/Irony","politics","General knowledge","41","","9"
"1b7unh0","B","D","Exp3","Comparison","Dark Humor","History/Mythology","Logical","70","","10"
"1be8p2s","C","B","Exp3","Incongruity","Situational","Pop culture","General knowledge","256","","11"
"1bikyy1","A","B","Exp3","Sarcasm/Irony","Surprise","History/Mythology","General knowledge","355","","12"
"1bl3eve","C","A","Exp3","Incongruity","Sarcasm/Irony","Hobby","Logical","128","","13"
"1bmtc5u","C","D","Exp3","Incongruity","Exaggeration","Social conventions","Social conventions","37","","14"
"1bsdc0l","A","D","Exp3","Comparison","Exaggeration","History/Mythology","General knowledge","305","","15"
"1bw9tb7","C","B","Exp3","Comparison","Dark Humor","General knowledge","Technical","209","","16"
"1c1tpnf","B","D","Exp3","Incongruity","Sarcasm/Irony","meme","Hobby","670","","17"
"1c6zoan","D","B","Exp3","Sarcasm/Irony","Sarcasm/Irony","Pop culture","Hobby","738","","18"
"1c22s8b","B","A","Exp3","Incongruity","Comparison","Pop culture","meme","237","","19"
"1c175gf","B","D","Exp3","Sarcasm/Irony","Comparison","politics","General knowledge","155","","20"
"1ccfha2","A","B","Exp3","Sarcasm/Irony","Surprise","politics","meme","84","","21"
"1cehmmt","B","A","Exp2","Situational","Comparison","Pop culture","Hobby","36","","22"
"1cgcw31","B","D","Exp3","Exaggeration","Sarcasm/Irony","Pop culture","meme","329","literal_paraphrased","23"
"1jfy6ms","A","C","Exp2","Wordplay","Situational","Pop culture","Hobby","50","","24"
"1eae89f","D","B","Exp3","Exaggeration","Comparison","Hobby","Logical","89","","25"
"1iw42ka","C","D","Exp2","Exaggeration","Comparison","Pop culture","politics","156","","26"
"1k4fjdr","A","D","Exp2","Wordplay","Situational","Logical","Hobby","830","","27"
"1l4mpmj","A","D","Exp3","Situational","Surprise","Social conventions","General knowledge","65","wrapping_quotes_stripped","28"
"1k0el7w","C","B","Exp1","Situational","Comparison","Hobby","Technical","250","wrapping_quotes_stripped","29"
"15h4szq","D","C","Exp2","Comparison","Situational","History/Mythology","Pop culture","730","","30"
"1k70gfk","D","A","Exp1","Exaggeration","Dark Humor","politics","General knowledge","106","","31"
"1jaa0tw","B","A","Exp2","Comparison","Exaggeration","History/Mythology","Logical","255","literal_paraphrased","32"
"1m0a4hv","C","A","Exp3","Sarcasm/Irony","Comparison","History/Mythology","Hobby","1073","","33"
"1hvaqk7","D","C","Exp3","Incongruity","Situational","meme","General knowledge","100","","34"
"1kw3buz","B","C","Exp2","Wordplay","Situational","Logical","Logical","36","","35"
"1blxcsy","C","D","Exp1","Situational","Comparison","Pop culture","Hobby","265","","36"
"1cskltc","A","D","Exp2","Wordplay","Incongruity","Pop culture","Hobby","108","literal_paraphrased","37"
"1kqwlgj","A","C","Exp3","Exaggeration","Exaggeration","Technical","History/Mythology","1331","","38"
"15yqaf6","A","C","Exp3","Incongruity","Comparison","Technical","General knowledge","80","","39"
"1fycaf4","B","D","Exp3","Situational","Exaggeration","Logical","Social conventions","192","wrapping_quotes_stripped","40"
