File,answer,model
1actpx8,D,google/gemini-3.5-flash
1af8odu,A,google/gemini-3.5-flash
1ajzxfm,B,google/gemini-3.5-flash
1amtoff,A,google/gemini-3.5-flash
1aoxsw3,A,google/gemini-3.5-flash
1asrnb3,B,google/gemini-3.5-flash
1aya611,C,google/gemini-3.5-flash
1b03bqv,D,google/gemini-3.5-flash
1b7unh0,A,google/gemini-3.5-flash
1be8p2s,C,google/gemini-3.5-flash
1bikyy1,A,google/gemini-3.5-flash
1bl3eve,C,google/gemini-3.5-flash
1bmtc5u,C,google/gemini-3.5-flash
1bsdc0l,A,google/gemini-3.5-flash
1bw9tb7,D,google/gemini-3.5-flash
1c1tpnf,B,google/gemini-3.5-flash
1c6zoan,D,google/gemini-3.5-flash
1c22s8b,C,google/gemini-3.5-flash
1c175gf,B,google/gemini-3.5-flash
1ccfha2,C,google/gemini-3.5-flash
1cehmmt,B,google/gemini-3.5-flash
1cgcw31,B,google/gemini-3.5-flash
1jfy6ms,A,google/gemini-3.5-flash
1eae89f,D,google/gemini-3.5-flash
1iw42ka,C,google/gemini-3.5-flash
1k4fjdr,A,google/gemini-3.5-flash
1l4mpmj,C,google/gemini-3.5-flash
1k0el7w,C,google/gemini-3.5-flash
15h4szq,D,google/gemini-3.5-flash
1k70gfk,D,google/gemini-3.5-flash
1jaa0tw,A,google/gemini-3.5-flash
1m0a4hv,C,google/gemini-3.5-flash
1hvaqk7,D,google/gemini-3.5-flash
1kw3buz,B,google/gemini-3.5-flash
1blxcsy,D,google/gemini-3.5-flash
1cskltc,A,google/gemini-3.5-flash
1kqwlgj,A,google/gemini-3.5-flash
15yqaf6,A,google/gemini-3.5-flash
1fycaf4,B,google/gemini-3.5-flash
1cpvjc7,A,google/gemini-3.5-flash
1bur7j0,B,google/gemini-3.5-flash
1co83ht,C,google/gemini-3.5-flash
1cwrltm,C,google/gemini-3.5-flash
1cym2ue,B,google/gemini-3.5-flash
1d2jxbw,C,google/gemini-3.5-flash
1d6ho4f,B,google/gemini-3.5-flash
1d8sg9b,D,google/gemini-3.5-flash
1d98tf9,D,google/gemini-3.5-flash
1dbipgs,A,google/gemini-3.5-flash
1dfrh37,D,google/gemini-3.5-flash
1di1z94,A,google/gemini-3.5-flash
1dk6kds,B,google/gemini-3.5-flash
1dlzvsx,D,google/gemini-3.5-flash
1do7yvv,C,google/gemini-3.5-flash
1dr9jg6,A,google/gemini-3.5-flash
1dtmedg,B,google/gemini-3.5-flash
1dwa7tj,D,google/gemini-3.5-flash
1e0k66e,B,google/gemini-3.5-flash
1e2qvt9,C,google/gemini-3.5-flash
1e6m88u,B,google/gemini-3.5-flash
1ea5yhw,A,google/gemini-3.5-flash
1eeayas,B,google/gemini-3.5-flash
1efs65o,B,google/gemini-3.5-flash
1eko6xo,C,google/gemini-3.5-flash
1elhse8,B,google/gemini-3.5-flash
1eq297i,B,google/gemini-3.5-flash
1et8l0q,C,google/gemini-3.5-flash
1ex1lej,D,google/gemini-3.5-flash
1f0qs2a,B,google/gemini-3.5-flash
1f4tmhz,D,google/gemini-3.5-flash
1f16w9p,C,google/gemini-3.5-flash
1fa202w,C,google/gemini-3.5-flash
1fbym0h,D,google/gemini-3.5-flash
1fdg0i5,D,google/gemini-3.5-flash
1fg38dp,B,google/gemini-3.5-flash
1fm0tjo,C,google/gemini-3.5-flash
1fs6ndo,B,google/gemini-3.5-flash
1fo91u1,D,google/gemini-3.5-flash
1fst6nb,B,google/gemini-3.5-flash
1fu3pp1,C,google/gemini-3.5-flash
1fuxrbx,A,google/gemini-3.5-flash
1fwbzz9,A,google/gemini-3.5-flash
1fxqzyt,B,google/gemini-3.5-flash
1g02nzf,D,google/gemini-3.5-flash
1g7yhzc,A,google/gemini-3.5-flash
1g4657e,A,google/gemini-3.5-flash
1gazv8u,B,google/gemini-3.5-flash
1gidb47,A,google/gemini-3.5-flash
1gop1dk,A,google/gemini-3.5-flash
1gqh1c5,D,google/gemini-3.5-flash
1gs87cm,C,google/gemini-3.5-flash
1guacve,A,google/gemini-3.5-flash
1gx0pu0,D,google/gemini-3.5-flash
1gz2i0o,C,google/gemini-3.5-flash
1gzkbbi,D,google/gemini-3.5-flash
1h5a44z,A,google/gemini-3.5-flash
1h7di4x,C,google/gemini-3.5-flash
1h8d39n,A,google/gemini-3.5-flash
1h52vkf,A,google/gemini-3.5-flash
1hfggtz,B,google/gemini-3.5-flash
1hmbnol,D,google/gemini-3.5-flash
1hqtnop,A,google/gemini-3.5-flash
1huqauz,B,google/gemini-3.5-flash
1i5ve1j,C,google/gemini-3.5-flash
1iad0kh,B,google/gemini-3.5-flash
1ibz4bh,D,google/gemini-3.5-flash
1ig7lnf,D,google/gemini-3.5-flash
1inxmb2,A,google/gemini-3.5-flash
1iri57s,B,google/gemini-3.5-flash
1iv0i8s,B,google/gemini-3.5-flash
1h626bt,C,google/gemini-3.5-flash
1hcpvbz,A,google/gemini-3.5-flash
1izj4eu,D,google/gemini-3.5-flash
1j983b2,A,google/gemini-3.5-flash
1jaysny,D,google/gemini-3.5-flash
1jh5toe,D,google/gemini-3.5-flash
1jjiqlq,A,google/gemini-3.5-flash
1k25b9s,A,google/gemini-3.5-flash
1kgak2u,C,google/gemini-3.5-flash
1mbnnpw,C,google/gemini-3.5-flash
17pg0fe,D,google/gemini-3.5-flash
1l8vajl,C,google/gemini-3.5-flash
1c38j1b,D,google/gemini-3.5-flash
1bdho8z,B,google/gemini-3.5-flash
1naurrn,A,google/gemini-3.5-flash
1mfr9vy,B,google/gemini-3.5-flash
1m241pn,B,google/gemini-3.5-flash
1m9u48i,C,google/gemini-3.5-flash
1m7b5bx,B,google/gemini-3.5-flash
1lttuji,D,google/gemini-3.5-flash
1ljrgbw,D,google/gemini-3.5-flash
1k6ds0q,C,google/gemini-3.5-flash
1bk0w4q,C,google/gemini-3.5-flash
1heeibu,A,google/gemini-3.5-flash
1fvpb5q,D,google/gemini-3.5-flash
184f4hh,C,google/gemini-3.5-flash
1mzfdhh,C,google/gemini-3.5-flash
1l1hxof,D,google/gemini-3.5-flash
1kjg3vh,B,google/gemini-3.5-flash
1k4lzxj,C,google/gemini-3.5-flash
1j0w1z3,B,google/gemini-3.5-flash
1irxw6j,B,google/gemini-3.5-flash
1ird7yb,B,google/gemini-3.5-flash
169oqq5,D,google/gemini-3.5-flash
1co29mb,D,google/gemini-3.5-flash
19eokbq,C,google/gemini-3.5-flash
1c3z5ld,C,google/gemini-3.5-flash
1dxonad,B,google/gemini-3.5-flash
1cbcpxn,D,google/gemini-3.5-flash
194s3gh,A,google/gemini-3.5-flash
1ipozgr,D,google/gemini-3.5-flash
1n7s8ht,D,google/gemini-3.5-flash
1bvyaep,A,google/gemini-3.5-flash
1587f2g,A,google/gemini-3.5-flash
177cl97,D,google/gemini-3.5-flash
1jhyaz4,C,google/gemini-3.5-flash
1fssuxj,C,google/gemini-3.5-flash
1fwc8sk,B,google/gemini-3.5-flash
195f4ld,A,google/gemini-3.5-flash
1key5qt,C,google/gemini-3.5-flash
1jzigfy,D,google/gemini-3.5-flash
192wp5d,C,google/gemini-3.5-flash
1hql3cv,D,google/gemini-3.5-flash
1mluk7a,A,google/gemini-3.5-flash
1mpg380,B,google/gemini-3.5-flash
1eexgq9,C,google/gemini-3.5-flash
1cs870m,B,google/gemini-3.5-flash
1g1cv45,B,google/gemini-3.5-flash
1g2ofgo,A,google/gemini-3.5-flash
1jzu8un,C,google/gemini-3.5-flash
1gvvhs3,A,google/gemini-3.5-flash
1l22d3q,C,google/gemini-3.5-flash
1j289je,D,google/gemini-3.5-flash
1ga3uxo,A,google/gemini-3.5-flash
1l99mtp,D,google/gemini-3.5-flash
1hjwowy,C,google/gemini-3.5-flash
1ii3g3t,D,google/gemini-3.5-flash
1h7ih54,B,google/gemini-3.5-flash
1eglfe7,C,google/gemini-3.5-flash
1jdq5gi,C,google/gemini-3.5-flash
1jykoxc,B,google/gemini-3.5-flash
1il72ww,B,google/gemini-3.5-flash
1g3admg,C,google/gemini-3.5-flash
1kpj6mq,A,google/gemini-3.5-flash
1gp140e,D,google/gemini-3.5-flash
1it3ezt,A,google/gemini-3.5-flash
1ceuuuh,A,google/gemini-3.5-flash
1bk5jkq,C,google/gemini-3.5-flash
1az5r39,D,google/gemini-3.5-flash
1hauo6q,A,google/gemini-3.5-flash
1jtym4e,A,google/gemini-3.5-flash
1l4x3e6,A,google/gemini-3.5-flash
1mahcad,B,google/gemini-3.5-flash
1j0n4gg,D,google/gemini-3.5-flash
1hbogj4,D,google/gemini-3.5-flash
1flb4nk,D,google/gemini-3.5-flash
1dhf9h2,A,google/gemini-3.5-flash
1c01lei,A,google/gemini-3.5-flash
1d7u657,B,google/gemini-3.5-flash
1dv83hh,C,google/gemini-3.5-flash
1cdufsh,C,google/gemini-3.5-flash
13ibrc1,A,google/gemini-3.5-flash
1m56k4v,A,google/gemini-3.5-flash
1mbrsfx,C,google/gemini-3.5-flash
1lnme9d,A,google/gemini-3.5-flash
1lhnwl4,A,google/gemini-3.5-flash
1lcutci,A,google/gemini-3.5-flash
1lmltqs,D,google/gemini-3.5-flash
1lgqywl,A,google/gemini-3.5-flash
1l8fck5,C,google/gemini-3.5-flash
1if88s3,C,google/gemini-3.5-flash
1jpn69p,D,google/gemini-3.5-flash
1fs7uqa,C,google/gemini-3.5-flash
1k6qo63,C,google/gemini-3.5-flash
1ku0frm,D,google/gemini-3.5-flash
1mj26iu,D,google/gemini-3.5-flash
1agsl73,D,google/gemini-3.5-flash
1cqzlzh,C,google/gemini-3.5-flash
1m55hez,A,google/gemini-3.5-flash
1arjiwr,C,google/gemini-3.5-flash
1jny20o,D,google/gemini-3.5-flash
1josjz1,C,google/gemini-3.5-flash
1m83zvy,B,google/gemini-3.5-flash
1m3s0a4,C,google/gemini-3.5-flash
15vbd1p,D,google/gemini-3.5-flash
1mhtv4z,C,google/gemini-3.5-flash
1mkomql,B,google/gemini-3.5-flash
1narr2o,D,google/gemini-3.5-flash
