File,answer,model
1af8odu,C,google/gemma-3-4b-it
1aoxsw3,D,google/gemma-3-4b-it
1actpx8,C,google/gemma-3-4b-it
1ajzxfm,B,google/gemma-3-4b-it
1amtoff,D,google/gemma-3-4b-it
1bikyy1,A,google/gemma-3-4b-it
1be8p2s,C,google/gemma-3-4b-it
1b03bqv,B,google/gemma-3-4b-it
1b7unh0,C,google/gemma-3-4b-it
1asrnb3,B,google/gemma-3-4b-it
1bmtc5u,C,google/gemma-3-4b-it
1bl3eve,A,google/gemma-3-4b-it
1aya611,D,google/gemma-3-4b-it
1bsdc0l,D,google/gemma-3-4b-it
1c1tpnf,B,google/gemma-3-4b-it
1bw9tb7,B,google/gemma-3-4b-it
1c6zoan,D,google/gemma-3-4b-it
1c22s8b,C,google/gemma-3-4b-it
1c175gf,A,google/gemma-3-4b-it
1cehmmt,D,google/gemma-3-4b-it
1ccfha2,B,google/gemma-3-4b-it
1jfy6ms,D,google/gemma-3-4b-it
1eae89f,D,google/gemma-3-4b-it
1cgcw31,D,google/gemma-3-4b-it
1k4fjdr,A,google/gemma-3-4b-it
1iw42ka,D,google/gemma-3-4b-it
15h4szq,C,google/gemma-3-4b-it
1l4mpmj,D,google/gemma-3-4b-it
1k0el7w,B,google/gemma-3-4b-it
1k70gfk,A,google/gemma-3-4b-it
1jaa0tw,A,google/gemma-3-4b-it
1m0a4hv,C,google/gemma-3-4b-it
1cskltc,D,google/gemma-3-4b-it
1hvaqk7,C,google/gemma-3-4b-it
1blxcsy,C,google/gemma-3-4b-it
15yqaf6,A,google/gemma-3-4b-it
1fycaf4,B,google/gemma-3-4b-it
1kqwlgj,A,google/gemma-3-4b-it
1kw3buz,C,google/gemma-3-4b-it
1bur7j0,C,google/gemma-3-4b-it
1co83ht,B,google/gemma-3-4b-it
1cpvjc7,C,google/gemma-3-4b-it
1cym2ue,B,google/gemma-3-4b-it
1cwrltm,D,google/gemma-3-4b-it
1d6ho4f,D,google/gemma-3-4b-it
1d2jxbw,A,google/gemma-3-4b-it
1d8sg9b,B,google/gemma-3-4b-it
1dbipgs,C,google/gemma-3-4b-it
1d98tf9,D,google/gemma-3-4b-it
1dfrh37,B,google/gemma-3-4b-it
1di1z94,D,google/gemma-3-4b-it
1dr9jg6,D,google/gemma-3-4b-it
1dlzvsx,A,google/gemma-3-4b-it
1do7yvv,B,google/gemma-3-4b-it
1dtmedg,D,google/gemma-3-4b-it
1dwa7tj,B,google/gemma-3-4b-it
1dk6kds,D,google/gemma-3-4b-it
1e2qvt9,B,google/gemma-3-4b-it
1e0k66e,B,google/gemma-3-4b-it
1e6m88u,B,google/gemma-3-4b-it
1ea5yhw,A,google/gemma-3-4b-it
1efs65o,D,google/gemma-3-4b-it
1eeayas,B,google/gemma-3-4b-it
1elhse8,A,google/gemma-3-4b-it
1eq297i,C,google/gemma-3-4b-it
1eko6xo,D,google/gemma-3-4b-it
1et8l0q,B,google/gemma-3-4b-it
1ex1lej,C,google/gemma-3-4b-it
1f0qs2a,B,google/gemma-3-4b-it
1fdg0i5,D,google/gemma-3-4b-it
1fa202w,D,google/gemma-3-4b-it
1f4tmhz,D,google/gemma-3-4b-it
1fbym0h,B,google/gemma-3-4b-it
1f16w9p,D,google/gemma-3-4b-it
1fg38dp,A,google/gemma-3-4b-it
1fs6ndo,D,google/gemma-3-4b-it
1fm0tjo,D,google/gemma-3-4b-it
1fo91u1,B,google/gemma-3-4b-it
1fu3pp1,A,google/gemma-3-4b-it
1fst6nb,B,google/gemma-3-4b-it
1fuxrbx,A,google/gemma-3-4b-it
1fwbzz9,A,google/gemma-3-4b-it
1fxqzyt,B,google/gemma-3-4b-it
1g02nzf,D,google/gemma-3-4b-it
1g7yhzc,A,google/gemma-3-4b-it
1gidb47,C,google/gemma-3-4b-it
1g4657e,C,google/gemma-3-4b-it
1gazv8u,A,google/gemma-3-4b-it
1gqh1c5,D,google/gemma-3-4b-it
1gop1dk,B,google/gemma-3-4b-it
1gs87cm,D,google/gemma-3-4b-it
1guacve,B,google/gemma-3-4b-it
1gz2i0o,D,google/gemma-3-4b-it
1h5a44z,D,google/gemma-3-4b-it
1gzkbbi,C,google/gemma-3-4b-it
1h8d39n,D,google/gemma-3-4b-it
1h7di4x,A,google/gemma-3-4b-it
1gx0pu0,B,google/gemma-3-4b-it
1h52vkf,D,google/gemma-3-4b-it
1hfggtz,D,google/gemma-3-4b-it
1hqtnop,D,google/gemma-3-4b-it
1i5ve1j,B,google/gemma-3-4b-it
1huqauz,B,google/gemma-3-4b-it
1iad0kh,D,google/gemma-3-4b-it
1ig7lnf,C,google/gemma-3-4b-it
1hmbnol,D,google/gemma-3-4b-it
1iri57s,D,google/gemma-3-4b-it
1ibz4bh,D,google/gemma-3-4b-it
1inxmb2,C,google/gemma-3-4b-it
1iv0i8s,B,google/gemma-3-4b-it
1hcpvbz,B,google/gemma-3-4b-it
1izj4eu,B,google/gemma-3-4b-it
1h626bt,D,google/gemma-3-4b-it
1jaysny,D,google/gemma-3-4b-it
1jh5toe,C,google/gemma-3-4b-it
1j983b2,D,google/gemma-3-4b-it
1jjiqlq,C,google/gemma-3-4b-it
1k25b9s,D,google/gemma-3-4b-it
1kgak2u,B,google/gemma-3-4b-it
