File,answer,model
1ajzxfm,B,google/gemma-4-26b-a4b-it
1aya611,C,google/gemma-4-26b-a4b-it
1asrnb3,B,google/gemma-4-26b-a4b-it
1af8odu,A,google/gemma-4-26b-a4b-it
1be8p2s,C,google/gemma-4-26b-a4b-it
1b03bqv,B,google/gemma-4-26b-a4b-it
1bikyy1,A,google/gemma-4-26b-a4b-it
1bl3eve,C,google/gemma-4-26b-a4b-it
1bmtc5u,C,google/gemma-4-26b-a4b-it
1bw9tb7,D,google/gemma-4-26b-a4b-it
1actpx8,A,google/gemma-4-26b-a4b-it
1c6zoan,D,google/gemma-4-26b-a4b-it
1b7unh0,A,google/gemma-4-26b-a4b-it
1c22s8b,B,google/gemma-4-26b-a4b-it
1ccfha2,C,google/gemma-4-26b-a4b-it
1cehmmt,B,google/gemma-4-26b-a4b-it
1c175gf,B,google/gemma-4-26b-a4b-it
1c1tpnf,B,google/gemma-4-26b-a4b-it
1eae89f,D,google/gemma-4-26b-a4b-it
1cgcw31,B,google/gemma-4-26b-a4b-it
1amtoff,D,google/gemma-4-26b-a4b-it
1l4mpmj,D,google/gemma-4-26b-a4b-it
1k0el7w,C,google/gemma-4-26b-a4b-it
1iw42ka,C,google/gemma-4-26b-a4b-it
1k70gfk,D,google/gemma-4-26b-a4b-it
1jfy6ms,A,google/gemma-4-26b-a4b-it
15h4szq,C,google/gemma-4-26b-a4b-it
1hvaqk7,D,google/gemma-4-26b-a4b-it
1m0a4hv,C,google/gemma-4-26b-a4b-it
1jaa0tw,A,google/gemma-4-26b-a4b-it
1blxcsy,C,google/gemma-4-26b-a4b-it
1kqwlgj,A,google/gemma-4-26b-a4b-it
1cskltc,A,google/gemma-4-26b-a4b-it
1kw3buz,B,google/gemma-4-26b-a4b-it
1fycaf4,B,google/gemma-4-26b-a4b-it
1bur7j0,B,google/gemma-4-26b-a4b-it
1co83ht,C,google/gemma-4-26b-a4b-it
15yqaf6,A,google/gemma-4-26b-a4b-it
1cwrltm,C,google/gemma-4-26b-a4b-it
1d2jxbw,C,google/gemma-4-26b-a4b-it
1cym2ue,B,google/gemma-4-26b-a4b-it
1d6ho4f,D,google/gemma-4-26b-a4b-it
1d98tf9,D,google/gemma-4-26b-a4b-it
1dbipgs,A,google/gemma-4-26b-a4b-it
1cpvjc7,C,google/gemma-4-26b-a4b-it
1dfrh37,D,google/gemma-4-26b-a4b-it
1d8sg9b,B,google/gemma-4-26b-a4b-it
1dlzvsx,D,google/gemma-4-26b-a4b-it
1di1z94,D,google/gemma-4-26b-a4b-it
1do7yvv,C,google/gemma-4-26b-a4b-it
1dk6kds,B,google/gemma-4-26b-a4b-it
1dwa7tj,D,google/gemma-4-26b-a4b-it
1dtmedg,B,google/gemma-4-26b-a4b-it
1e2qvt9,C,google/gemma-4-26b-a4b-it
1dr9jg6,A,google/gemma-4-26b-a4b-it
1ea5yhw,A,google/gemma-4-26b-a4b-it
1e6m88u,B,google/gemma-4-26b-a4b-it
1efs65o,B,google/gemma-4-26b-a4b-it
1eko6xo,C,google/gemma-4-26b-a4b-it
1elhse8,A,google/gemma-4-26b-a4b-it
1eeayas,B,google/gemma-4-26b-a4b-it
1et8l0q,C,google/gemma-4-26b-a4b-it
1eq297i,B,google/gemma-4-26b-a4b-it
1f0qs2a,B,google/gemma-4-26b-a4b-it
1f4tmhz,D,google/gemma-4-26b-a4b-it
1e0k66e,B,google/gemma-4-26b-a4b-it
1ex1lej,D,google/gemma-4-26b-a4b-it
1fbym0h,D,google/gemma-4-26b-a4b-it
1fg38dp,B,google/gemma-4-26b-a4b-it
1fdg0i5,D,google/gemma-4-26b-a4b-it
1fm0tjo,C,google/gemma-4-26b-a4b-it
1fa202w,C,google/gemma-4-26b-a4b-it
1fst6nb,B,google/gemma-4-26b-a4b-it
1fu3pp1,C,google/gemma-4-26b-a4b-it
1fwbzz9,A,google/gemma-4-26b-a4b-it
1fo91u1,D,google/gemma-4-26b-a4b-it
1g02nzf,D,google/gemma-4-26b-a4b-it
1fxqzyt,B,google/gemma-4-26b-a4b-it
1g7yhzc,A,google/gemma-4-26b-a4b-it
1f16w9p,C,google/gemma-4-26b-a4b-it
1fs6ndo,D,google/gemma-4-26b-a4b-it
1gidb47,A,google/gemma-4-26b-a4b-it
1gqh1c5,D,google/gemma-4-26b-a4b-it
1g4657e,A,google/gemma-4-26b-a4b-it
1guacve,D,google/gemma-4-26b-a4b-it
1gazv8u,A,google/gemma-4-26b-a4b-it
1gx0pu0,D,google/gemma-4-26b-a4b-it
1gz2i0o,C,google/gemma-4-26b-a4b-it
1gzkbbi,A,google/gemma-4-26b-a4b-it
1h7di4x,A,google/gemma-4-26b-a4b-it
1h8d39n,A,google/gemma-4-26b-a4b-it
1gop1dk,D,google/gemma-4-26b-a4b-it
1hfggtz,D,google/gemma-4-26b-a4b-it
1gs87cm,B,google/gemma-4-26b-a4b-it
1hmbnol,D,google/gemma-4-26b-a4b-it
1h52vkf,A,google/gemma-4-26b-a4b-it
1huqauz,B,google/gemma-4-26b-a4b-it
1hqtnop,B,google/gemma-4-26b-a4b-it
1ibz4bh,D,google/gemma-4-26b-a4b-it
1ig7lnf,B,google/gemma-4-26b-a4b-it
1iri57s,D,google/gemma-4-26b-a4b-it
1iv0i8s,B,google/gemma-4-26b-a4b-it
1h626bt,C,google/gemma-4-26b-a4b-it
1hcpvbz,D,google/gemma-4-26b-a4b-it
1izj4eu,D,google/gemma-4-26b-a4b-it
1j983b2,A,google/gemma-4-26b-a4b-it
1i5ve1j,C,google/gemma-4-26b-a4b-it
1jaysny,D,google/gemma-4-26b-a4b-it
1inxmb2,B,google/gemma-4-26b-a4b-it
1h5a44z,D,google/gemma-4-26b-a4b-it
1jjiqlq,A,google/gemma-4-26b-a4b-it
1jh5toe,D,google/gemma-4-26b-a4b-it
1k25b9s,A,google/gemma-4-26b-a4b-it
1l8vajl,C,google/gemma-4-26b-a4b-it
1mbnnpw,C,google/gemma-4-26b-a4b-it
1kgak2u,C,google/gemma-4-26b-a4b-it
1c38j1b,D,google/gemma-4-26b-a4b-it
17pg0fe,D,google/gemma-4-26b-a4b-it
1mfr9vy,B,google/gemma-4-26b-a4b-it
1m241pn,B,google/gemma-4-26b-a4b-it
1m7b5bx,C,google/gemma-4-26b-a4b-it
1bdho8z,B,google/gemma-4-26b-a4b-it
1ljrgbw,D,google/gemma-4-26b-a4b-it
1naurrn,D,google/gemma-4-26b-a4b-it
1lttuji,D,google/gemma-4-26b-a4b-it
1m9u48i,C,google/gemma-4-26b-a4b-it
1heeibu,A,google/gemma-4-26b-a4b-it
1fvpb5q,D,google/gemma-4-26b-a4b-it
1mzfdhh,D,google/gemma-4-26b-a4b-it
1l1hxof,B,google/gemma-4-26b-a4b-it
1kjg3vh,B,google/gemma-4-26b-a4b-it
1k4lzxj,C,google/gemma-4-26b-a4b-it
1k6ds0q,A,google/gemma-4-26b-a4b-it
1j0w1z3,A,google/gemma-4-26b-a4b-it
1irxw6j,D,google/gemma-4-26b-a4b-it
1ird7yb,B,google/gemma-4-26b-a4b-it
19eokbq,C,google/gemma-4-26b-a4b-it
1co29mb,D,google/gemma-4-26b-a4b-it
1dxonad,B,google/gemma-4-26b-a4b-it
1c3z5ld,C,google/gemma-4-26b-a4b-it
1cbcpxn,D,google/gemma-4-26b-a4b-it
194s3gh,B,google/gemma-4-26b-a4b-it
1ipozgr,D,google/gemma-4-26b-a4b-it
1n7s8ht,D,google/gemma-4-26b-a4b-it
169oqq5,A,google/gemma-4-26b-a4b-it
177cl97,D,google/gemma-4-26b-a4b-it
1587f2g,A,google/gemma-4-26b-a4b-it
1jhyaz4,B,google/gemma-4-26b-a4b-it
1fwc8sk,B,google/gemma-4-26b-a4b-it
1fssuxj,C,google/gemma-4-26b-a4b-it
1bvyaep,A,google/gemma-4-26b-a4b-it
192wp5d,C,google/gemma-4-26b-a4b-it
1hql3cv,D,google/gemma-4-26b-a4b-it
195f4ld,D,google/gemma-4-26b-a4b-it
1mpg380,B,google/gemma-4-26b-a4b-it
1eexgq9,C,google/gemma-4-26b-a4b-it
1cs870m,B,google/gemma-4-26b-a4b-it
1mluk7a,A,google/gemma-4-26b-a4b-it
1jzigfy,D,google/gemma-4-26b-a4b-it
1jzu8un,C,google/gemma-4-26b-a4b-it
1gvvhs3,A,google/gemma-4-26b-a4b-it
1l22d3q,C,google/gemma-4-26b-a4b-it
1g2ofgo,A,google/gemma-4-26b-a4b-it
1g1cv45,A,google/gemma-4-26b-a4b-it
1j289je,D,google/gemma-4-26b-a4b-it
1hjwowy,C,google/gemma-4-26b-a4b-it
1bk0w4q,A,google/gemma-4-26b-a4b-it
1ii3g3t,D,google/gemma-4-26b-a4b-it
1eglfe7,C,google/gemma-4-26b-a4b-it
1h7ih54,B,google/gemma-4-26b-a4b-it
1l99mtp,C,google/gemma-4-26b-a4b-it
1il72ww,B,google/gemma-4-26b-a4b-it
