File,answer,model
1actpx8,D,openai/gpt-5
1af8odu,A,openai/gpt-5
1ajzxfm,B,openai/gpt-5
1amtoff,A,openai/gpt-5
1aoxsw3,A,openai/gpt-5
1asrnb3,B,openai/gpt-5
1aya611,C,openai/gpt-5
1b03bqv,D,openai/gpt-5
1b7unh0,D,openai/gpt-5
1be8p2s,C,openai/gpt-5
1bikyy1,A,openai/gpt-5
1bl3eve,C,openai/gpt-5
1bmtc5u,C,openai/gpt-5
1bsdc0l,C,openai/gpt-5
1bw9tb7,D,openai/gpt-5
1c1tpnf,B,openai/gpt-5
1c6zoan,C,openai/gpt-5
1c22s8b,B,openai/gpt-5
1c175gf,D,openai/gpt-5
1ccfha2,C,openai/gpt-5
1cehmmt,A,openai/gpt-5
1cgcw31,B,openai/gpt-5
1jfy6ms,A,openai/gpt-5
1eae89f,D,openai/gpt-5
1iw42ka,C,openai/gpt-5
1k4fjdr,D,openai/gpt-5
1l4mpmj,A,openai/gpt-5
1k0el7w,C,openai/gpt-5
15h4szq,C,openai/gpt-5
1k70gfk,D,openai/gpt-5
1jaa0tw,A,openai/gpt-5
1m0a4hv,D,openai/gpt-5
1hvaqk7,D,openai/gpt-5
1kw3buz,B,openai/gpt-5
1blxcsy,D,openai/gpt-5
1cskltc,A,openai/gpt-5
1kqwlgj,A,openai/gpt-5
15yqaf6,A,openai/gpt-5
1fycaf4,B,openai/gpt-5
1cpvjc7,A,openai/gpt-5
1bur7j0,B,openai/gpt-5
1co83ht,C,openai/gpt-5
1cwrltm,C,openai/gpt-5
1cym2ue,D,openai/gpt-5
1d2jxbw,C,openai/gpt-5
1d6ho4f,D,openai/gpt-5
1d8sg9b,D,openai/gpt-5
1d98tf9,A,openai/gpt-5
1dbipgs,A,openai/gpt-5
1dfrh37,D,openai/gpt-5
1di1z94,A,openai/gpt-5
1dk6kds,C,openai/gpt-5
1dlzvsx,D,openai/gpt-5
1do7yvv,C,openai/gpt-5
1dr9jg6,D,openai/gpt-5
1dtmedg,B,openai/gpt-5
1dwa7tj,D,openai/gpt-5
1e0k66e,B,openai/gpt-5
1e2qvt9,C,openai/gpt-5
1e6m88u,B,openai/gpt-5
1ea5yhw,A,openai/gpt-5
1eeayas,B,openai/gpt-5
1efs65o,B,openai/gpt-5
1eko6xo,C,openai/gpt-5
1elhse8,A,openai/gpt-5
1eq297i,B,openai/gpt-5
1et8l0q,C,openai/gpt-5
1ex1lej,D,openai/gpt-5
1f0qs2a,B,openai/gpt-5
1f4tmhz,D,openai/gpt-5
1f16w9p,C,openai/gpt-5
1fa202w,C,openai/gpt-5
1fbym0h,B,openai/gpt-5
1fdg0i5,D,openai/gpt-5
1fg38dp,B,openai/gpt-5
1fm0tjo,C,openai/gpt-5
1fs6ndo,B,openai/gpt-5
1fo91u1,D,openai/gpt-5
1fst6nb,B,openai/gpt-5
1fu3pp1,C,openai/gpt-5
1fuxrbx,A,openai/gpt-5
1fwbzz9,A,openai/gpt-5
1fxqzyt,B,openai/gpt-5
1g02nzf,D,openai/gpt-5
1g7yhzc,A,openai/gpt-5
1g4657e,A,openai/gpt-5
1gazv8u,A,openai/gpt-5
1gidb47,A,openai/gpt-5
1gop1dk,A,openai/gpt-5
1gqh1c5,D,openai/gpt-5
1gs87cm,C,openai/gpt-5
1guacve,C,openai/gpt-5
1gx0pu0,D,openai/gpt-5
1gz2i0o,C,openai/gpt-5
1gzkbbi,D,openai/gpt-5
1h5a44z,A,openai/gpt-5
1h7di4x,C,openai/gpt-5
1h8d39n,D,openai/gpt-5
1h52vkf,D,openai/gpt-5
1hfggtz,B,openai/gpt-5
1hmbnol,D,openai/gpt-5
1hqtnop,A,openai/gpt-5
1huqauz,B,openai/gpt-5
1i5ve1j,C,openai/gpt-5
1iad0kh,B,openai/gpt-5
1ibz4bh,D,openai/gpt-5
1ig7lnf,D,openai/gpt-5
1inxmb2,A,openai/gpt-5
1iri57s,C,openai/gpt-5
1iv0i8s,B,openai/gpt-5
1h626bt,C,openai/gpt-5
1hcpvbz,A,openai/gpt-5
1izj4eu,A,openai/gpt-5
1j983b2,A,openai/gpt-5
1jaysny,D,openai/gpt-5
1jh5toe,D,openai/gpt-5
1jjiqlq,A,openai/gpt-5
1k25b9s,A,openai/gpt-5
1kgak2u,C,openai/gpt-5
1mbnnpw,B,openai/gpt-5
17pg0fe,B,openai/gpt-5
1l8vajl,C,openai/gpt-5
1c38j1b,D,openai/gpt-5
1bdho8z,B,openai/gpt-5
1naurrn,D,openai/gpt-5
1mfr9vy,B,openai/gpt-5
1m241pn,B,openai/gpt-5
1m9u48i,C,openai/gpt-5
1m7b5bx,B,openai/gpt-5
1lttuji,C,openai/gpt-5
1ljrgbw,D,openai/gpt-5
1k6ds0q,C,openai/gpt-5
1bk0w4q,A,openai/gpt-5
1heeibu,A,openai/gpt-5
1fvpb5q,D,openai/gpt-5
184f4hh,C,openai/gpt-5
1mzfdhh,C,openai/gpt-5
1l1hxof,C,openai/gpt-5
1kjg3vh,B,openai/gpt-5
1k4lzxj,C,openai/gpt-5
1j0w1z3,A,openai/gpt-5
1irxw6j,B,openai/gpt-5
1ird7yb,B,openai/gpt-5
169oqq5,D,openai/gpt-5
1co29mb,D,openai/gpt-5
19eokbq,C,openai/gpt-5
1c3z5ld,D,openai/gpt-5
1dxonad,B,openai/gpt-5
1cbcpxn,D,openai/gpt-5
194s3gh,C,openai/gpt-5
1ipozgr,D,openai/gpt-5
1n7s8ht,D,openai/gpt-5
1bvyaep,A,openai/gpt-5
1587f2g,A,openai/gpt-5
177cl97,D,openai/gpt-5
1jhyaz4,C,openai/gpt-5
1fssuxj,C,openai/gpt-5
1fwc8sk,B,openai/gpt-5
195f4ld,D,openai/gpt-5
1key5qt,C,openai/gpt-5
1jzigfy,D,openai/gpt-5
192wp5d,C,openai/gpt-5
1hql3cv,D,openai/gpt-5
1mluk7a,A,openai/gpt-5
1mpg380,B,openai/gpt-5
1eexgq9,C,openai/gpt-5
1cs870m,B,openai/gpt-5
1g1cv45,B,openai/gpt-5
1g2ofgo,B,openai/gpt-5
1jzu8un,C,openai/gpt-5
1gvvhs3,A,openai/gpt-5
1l22d3q,C,openai/gpt-5
1j289je,D,openai/gpt-5
1ga3uxo,A,openai/gpt-5
1l99mtp,D,openai/gpt-5
1hjwowy,C,openai/gpt-5
1ii3g3t,A,openai/gpt-5
1h7ih54,A,openai/gpt-5
1eglfe7,C,openai/gpt-5
1jdq5gi,C,openai/gpt-5
1jykoxc,C,openai/gpt-5
1il72ww,B,openai/gpt-5
1g3admg,C,openai/gpt-5
1kpj6mq,A,openai/gpt-5
1gp140e,D,openai/gpt-5
1it3ezt,C,openai/gpt-5
1ceuuuh,A,openai/gpt-5
1bk5jkq,D,openai/gpt-5
1az5r39,C,openai/gpt-5
1hauo6q,B,openai/gpt-5
1jtym4e,A,openai/gpt-5
1l4x3e6,B,openai/gpt-5
1mahcad,B,openai/gpt-5
1j0n4gg,C,openai/gpt-5
1hbogj4,C,openai/gpt-5
1flb4nk,D,openai/gpt-5
1dhf9h2,A,openai/gpt-5
1c01lei,A,openai/gpt-5
1d7u657,B,openai/gpt-5
1dv83hh,C,openai/gpt-5
1cdufsh,B,openai/gpt-5
13ibrc1,A,openai/gpt-5
1m56k4v,A,openai/gpt-5
1mbrsfx,B,openai/gpt-5
1lnme9d,A,openai/gpt-5
1lhnwl4,C,openai/gpt-5
1lcutci,B,openai/gpt-5
1lmltqs,D,openai/gpt-5
1lgqywl,A,openai/gpt-5
1l8fck5,C,openai/gpt-5
1if88s3,C,openai/gpt-5
1jpn69p,D,openai/gpt-5
1fs7uqa,C,openai/gpt-5
1k6qo63,D,openai/gpt-5
1ku0frm,D,openai/gpt-5
1mj26iu,D,openai/gpt-5
1agsl73,D,openai/gpt-5
1cqzlzh,C,openai/gpt-5
1m55hez,B,openai/gpt-5
1arjiwr,D,openai/gpt-5
1jny20o,C,openai/gpt-5
1josjz1,C,openai/gpt-5
1m83zvy,B,openai/gpt-5
1m3s0a4,B,openai/gpt-5
15vbd1p,D,openai/gpt-5
1mhtv4z,B,openai/gpt-5
1mkomql,D,openai/gpt-5
1narr2o,D,openai/gpt-5
1n0my5r,A,openai/gpt-5
1k5a33w,B,openai/gpt-5
1k5wejp,C,openai/gpt-5
1k4ukvi,D,openai/gpt-5
1kehvhj,A,openai/gpt-5
1keqvzx,D,openai/gpt-5
1kpfg74,C,openai/gpt-5
1kidi8e,C,openai/gpt-5
1kjlggg,B,openai/gpt-5
1kqcllz,C,openai/gpt-5
1jwjneb,C,openai/gpt-5
1kpua4s,C,openai/gpt-5
1l7z6gs,C,openai/gpt-5
1asecwa,C,openai/gpt-5
1i38yhn,A,openai/gpt-5
1bpefe3,C,openai/gpt-5
1esw67r,A,openai/gpt-5
1fkmtz4,B,openai/gpt-5
1c43fea,A,openai/gpt-5
1czson4,C,openai/gpt-5
1dcyo13,D,openai/gpt-5
1fvuj7k,A,openai/gpt-5
1gtbssx,C,openai/gpt-5
1htm33y,B,openai/gpt-5
1hw0vwf,C,openai/gpt-5
1kw5fto,B,openai/gpt-5
1k9xaf4,B,openai/gpt-5
1jmn6xg,C,openai/gpt-5
1j5j7q8,B,openai/gpt-5
1itzxo7,D,openai/gpt-5
1ibyirm,A,openai/gpt-5
1ijlh5e,B,openai/gpt-5
1ih9bat,D,openai/gpt-5
1j1lc01,B,openai/gpt-5
1j9svdf,C,openai/gpt-5
1jwvcno,B,openai/gpt-5
