File,answer,model
1actpx8,D,qwen/qwen3-vl-30b-a3b-thinking
1af8odu,A,qwen/qwen3-vl-30b-a3b-thinking
1ajzxfm,B,qwen/qwen3-vl-30b-a3b-thinking
1amtoff,D,qwen/qwen3-vl-30b-a3b-thinking
1aoxsw3,C,qwen/qwen3-vl-30b-a3b-thinking
1asrnb3,B,qwen/qwen3-vl-30b-a3b-thinking
1aya611,C,qwen/qwen3-vl-30b-a3b-thinking
1b03bqv,B,qwen/qwen3-vl-30b-a3b-thinking
1b7unh0,A,qwen/qwen3-vl-30b-a3b-thinking
1be8p2s,C,qwen/qwen3-vl-30b-a3b-thinking
1bikyy1,A,qwen/qwen3-vl-30b-a3b-thinking
1bl3eve,A,qwen/qwen3-vl-30b-a3b-thinking
1bmtc5u,C,qwen/qwen3-vl-30b-a3b-thinking
1bsdc0l,C,qwen/qwen3-vl-30b-a3b-thinking
1bw9tb7,D,qwen/qwen3-vl-30b-a3b-thinking
1c1tpnf,B,qwen/qwen3-vl-30b-a3b-thinking
1c6zoan,D,qwen/qwen3-vl-30b-a3b-thinking
1c22s8b,C,qwen/qwen3-vl-30b-a3b-thinking
1c175gf,D,qwen/qwen3-vl-30b-a3b-thinking
1ccfha2,D,qwen/qwen3-vl-30b-a3b-thinking
1cehmmt,D,qwen/qwen3-vl-30b-a3b-thinking
1cgcw31,B,qwen/qwen3-vl-30b-a3b-thinking
1jfy6ms,A,qwen/qwen3-vl-30b-a3b-thinking
1eae89f,D,qwen/qwen3-vl-30b-a3b-thinking
1iw42ka,C,qwen/qwen3-vl-30b-a3b-thinking
1k4fjdr,A,qwen/qwen3-vl-30b-a3b-thinking
1l4mpmj,B,qwen/qwen3-vl-30b-a3b-thinking
1k0el7w,C,qwen/qwen3-vl-30b-a3b-thinking
15h4szq,C,qwen/qwen3-vl-30b-a3b-thinking
1k70gfk,D,qwen/qwen3-vl-30b-a3b-thinking
1jaa0tw,A,qwen/qwen3-vl-30b-a3b-thinking
1m0a4hv,D,qwen/qwen3-vl-30b-a3b-thinking
1hvaqk7,C,qwen/qwen3-vl-30b-a3b-thinking
1kw3buz,C,qwen/qwen3-vl-30b-a3b-thinking
1blxcsy,C,qwen/qwen3-vl-30b-a3b-thinking
1cskltc,B,qwen/qwen3-vl-30b-a3b-thinking
1kqwlgj,A,qwen/qwen3-vl-30b-a3b-thinking
15yqaf6,A,qwen/qwen3-vl-30b-a3b-thinking
1fycaf4,B,qwen/qwen3-vl-30b-a3b-thinking
1cpvjc7,C,qwen/qwen3-vl-30b-a3b-thinking
1bur7j0,C,qwen/qwen3-vl-30b-a3b-thinking
1co83ht,C,qwen/qwen3-vl-30b-a3b-thinking
1cwrltm,B,qwen/qwen3-vl-30b-a3b-thinking
1cym2ue,D,qwen/qwen3-vl-30b-a3b-thinking
1d2jxbw,C,qwen/qwen3-vl-30b-a3b-thinking
1d6ho4f,D,qwen/qwen3-vl-30b-a3b-thinking
1d8sg9b,B,qwen/qwen3-vl-30b-a3b-thinking
1d98tf9,C,qwen/qwen3-vl-30b-a3b-thinking
1dbipgs,C,qwen/qwen3-vl-30b-a3b-thinking
1dfrh37,C,qwen/qwen3-vl-30b-a3b-thinking
1di1z94,D,qwen/qwen3-vl-30b-a3b-thinking
1dk6kds,C,qwen/qwen3-vl-30b-a3b-thinking
1dlzvsx,D,qwen/qwen3-vl-30b-a3b-thinking
