File,answer,model
1actpx8,D,qwen/qwen3.5-9b
1af8odu,A,qwen/qwen3.5-9b
1ajzxfm,B,qwen/qwen3.5-9b
1amtoff,A,qwen/qwen3.5-9b
1aoxsw3,A,qwen/qwen3.5-9b
1asrnb3,B,qwen/qwen3.5-9b
1aya611,B,qwen/qwen3.5-9b
1b03bqv,B,qwen/qwen3.5-9b
1b7unh0,A,qwen/qwen3.5-9b
1be8p2s,C,qwen/qwen3.5-9b
1bikyy1,A,qwen/qwen3.5-9b
1bl3eve,A,qwen/qwen3.5-9b
1bmtc5u,C,qwen/qwen3.5-9b
1bsdc0l,A,qwen/qwen3.5-9b
1bw9tb7,D,qwen/qwen3.5-9b
1c1tpnf,B,qwen/qwen3.5-9b
1c6zoan,D,qwen/qwen3.5-9b
1c22s8b,C,qwen/qwen3.5-9b
1c175gf,D,qwen/qwen3.5-9b
1ccfha2,C,qwen/qwen3.5-9b
1cehmmt,B,qwen/qwen3.5-9b
1cgcw31,B,qwen/qwen3.5-9b
1jfy6ms,A,qwen/qwen3.5-9b
1eae89f,B,qwen/qwen3.5-9b
1iw42ka,C,qwen/qwen3.5-9b
1k4fjdr,D,qwen/qwen3.5-9b
1l4mpmj,A,qwen/qwen3.5-9b
1k0el7w,C,qwen/qwen3.5-9b
15h4szq,C,qwen/qwen3.5-9b
1k70gfk,D,qwen/qwen3.5-9b
1jaa0tw,A,qwen/qwen3.5-9b
1m0a4hv,C,qwen/qwen3.5-9b
1hvaqk7,D,qwen/qwen3.5-9b
1kw3buz,B,qwen/qwen3.5-9b
1blxcsy,C,qwen/qwen3.5-9b
1cskltc,A,qwen/qwen3.5-9b
1kqwlgj,A,qwen/qwen3.5-9b
1fycaf4,B,qwen/qwen3.5-9b
1cpvjc7,A,qwen/qwen3.5-9b
1bur7j0,B,qwen/qwen3.5-9b
1co83ht,C,qwen/qwen3.5-9b
1cwrltm,C,qwen/qwen3.5-9b
1cym2ue,B,qwen/qwen3.5-9b
1d2jxbw,C,qwen/qwen3.5-9b
1d6ho4f,D,qwen/qwen3.5-9b
1d8sg9b,A,qwen/qwen3.5-9b
1d98tf9,D,qwen/qwen3.5-9b
1dbipgs,A,qwen/qwen3.5-9b
1dfrh37,C,qwen/qwen3.5-9b
1di1z94,D,qwen/qwen3.5-9b
1dk6kds,B,qwen/qwen3.5-9b
1dlzvsx,D,qwen/qwen3.5-9b
1do7yvv,C,qwen/qwen3.5-9b
1dtmedg,B,qwen/qwen3.5-9b
1dwa7tj,D,qwen/qwen3.5-9b
1e0k66e,B,qwen/qwen3.5-9b
1e2qvt9,C,qwen/qwen3.5-9b
1e6m88u,B,qwen/qwen3.5-9b
1ea5yhw,A,qwen/qwen3.5-9b
1eeayas,B,qwen/qwen3.5-9b
1efs65o,B,qwen/qwen3.5-9b
1eko6xo,C,qwen/qwen3.5-9b
1elhse8,A,qwen/qwen3.5-9b
1eq297i,B,qwen/qwen3.5-9b
1f0qs2a,B,qwen/qwen3.5-9b
1f4tmhz,D,qwen/qwen3.5-9b
1f16w9p,C,qwen/qwen3.5-9b
1fa202w,C,qwen/qwen3.5-9b
1fbym0h,D,qwen/qwen3.5-9b
1fdg0i5,D,qwen/qwen3.5-9b
1fg38dp,B,qwen/qwen3.5-9b
1fm0tjo,C,qwen/qwen3.5-9b
1fs6ndo,D,qwen/qwen3.5-9b
1fo91u1,D,qwen/qwen3.5-9b
1fst6nb,B,qwen/qwen3.5-9b
1fu3pp1,C,qwen/qwen3.5-9b
1fuxrbx,A,qwen/qwen3.5-9b
1fwbzz9,A,qwen/qwen3.5-9b
1fxqzyt,D,qwen/qwen3.5-9b
1g02nzf,D,qwen/qwen3.5-9b
1g7yhzc,A,qwen/qwen3.5-9b
1gazv8u,A,qwen/qwen3.5-9b
1gop1dk,D,qwen/qwen3.5-9b
1gqh1c5,B,qwen/qwen3.5-9b
1guacve,D,qwen/qwen3.5-9b
1gx0pu0,D,qwen/qwen3.5-9b
1gz2i0o,C,qwen/qwen3.5-9b
1gzkbbi,D,qwen/qwen3.5-9b
1h5a44z,A,qwen/qwen3.5-9b
1h7di4x,A,qwen/qwen3.5-9b
1h8d39n,A,qwen/qwen3.5-9b
1h52vkf,A,qwen/qwen3.5-9b
1hfggtz,D,qwen/qwen3.5-9b
1hmbnol,D,qwen/qwen3.5-9b
1hqtnop,B,qwen/qwen3.5-9b
1huqauz,A,qwen/qwen3.5-9b
1i5ve1j,C,qwen/qwen3.5-9b
1iad0kh,B,qwen/qwen3.5-9b
1ibz4bh,D,qwen/qwen3.5-9b
1ig7lnf,B,qwen/qwen3.5-9b
1inxmb2,B,qwen/qwen3.5-9b
1iri57s,C,qwen/qwen3.5-9b
1iv0i8s,B,qwen/qwen3.5-9b
1h626bt,C,qwen/qwen3.5-9b
1hcpvbz,A,qwen/qwen3.5-9b
1izj4eu,D,qwen/qwen3.5-9b
1jaysny,D,qwen/qwen3.5-9b
1jh5toe,C,qwen/qwen3.5-9b
1jjiqlq,C,qwen/qwen3.5-9b
1k25b9s,A,qwen/qwen3.5-9b
1mbnnpw,C,qwen/qwen3.5-9b
17pg0fe,A,qwen/qwen3.5-9b
1l8vajl,B,qwen/qwen3.5-9b
1bdho8z,A,qwen/qwen3.5-9b
1naurrn,A,qwen/qwen3.5-9b
1mfr9vy,B,qwen/qwen3.5-9b
1m241pn,B,qwen/qwen3.5-9b
1m9u48i,C,qwen/qwen3.5-9b
1m7b5bx,A,qwen/qwen3.5-9b
1lttuji,D,qwen/qwen3.5-9b
1ljrgbw,D,qwen/qwen3.5-9b
1k6ds0q,D,qwen/qwen3.5-9b
1bk0w4q,D,qwen/qwen3.5-9b
1fvpb5q,D,qwen/qwen3.5-9b
184f4hh,C,qwen/qwen3.5-9b
1mzfdhh,C,qwen/qwen3.5-9b
1l1hxof,A,qwen/qwen3.5-9b
1kjg3vh,B,qwen/qwen3.5-9b
1k4lzxj,C,qwen/qwen3.5-9b
1j0w1z3,A,qwen/qwen3.5-9b
1irxw6j,B,qwen/qwen3.5-9b
1ird7yb,B,qwen/qwen3.5-9b
169oqq5,D,qwen/qwen3.5-9b
1co29mb,B,qwen/qwen3.5-9b
19eokbq,C,qwen/qwen3.5-9b
1c3z5ld,C,qwen/qwen3.5-9b
1dxonad,B,qwen/qwen3.5-9b
1cbcpxn,C,qwen/qwen3.5-9b
194s3gh,A,qwen/qwen3.5-9b
1ipozgr,D,qwen/qwen3.5-9b
1n7s8ht,D,qwen/qwen3.5-9b
1bvyaep,A,qwen/qwen3.5-9b
1587f2g,A,qwen/qwen3.5-9b
177cl97,D,qwen/qwen3.5-9b
1jhyaz4,B,qwen/qwen3.5-9b
1fssuxj,C,qwen/qwen3.5-9b
1fwc8sk,B,qwen/qwen3.5-9b
195f4ld,A,qwen/qwen3.5-9b
1key5qt,C,qwen/qwen3.5-9b
1jzigfy,C,qwen/qwen3.5-9b
192wp5d,C,qwen/qwen3.5-9b
1hql3cv,D,qwen/qwen3.5-9b
1mluk7a,A,qwen/qwen3.5-9b
1mpg380,B,qwen/qwen3.5-9b
