File,model,model_raw_answer,parsed_letter,correct_letter,literal_letter,status,humor_style,contextual_knowledge
1actpx8,anthropic/claude-opus-4-6,D,D,D,C,correct,Sarcasm/Irony,Hobby
1af8odu,anthropic/claude-opus-4-6,A,A,A,C,correct,Wordplay,Pop culture
1ajzxfm,anthropic/claude-opus-4-6,B,B,B,D,correct,Comparison,Logical
1amtoff,anthropic/claude-opus-4-6,A,A,A,C,correct,Incongruity,General knowledge
1aoxsw3,anthropic/claude-opus-4-6,A,A,A,D,correct,Comparison,Technical
1asrnb3,anthropic/claude-opus-4-6,B,B,B,C,correct,Exaggeration,Pop culture
1aya611,anthropic/claude-opus-4-6,C,C,C,D,correct,Sarcasm/Irony,Social conventions
1b03bqv,anthropic/claude-opus-4-6,B,B,D,C,other_distractor,Incongruity,politics
1b7unh0,anthropic/claude-opus-4-6,A,A,B,D,other_distractor,Comparison,History/Mythology
1be8p2s,anthropic/claude-opus-4-6,C,C,C,B,correct,Incongruity,Pop culture
1bikyy1,anthropic/claude-opus-4-6,A,A,A,B,correct,Sarcasm/Irony,History/Mythology
1bl3eve,anthropic/claude-opus-4-6,C,C,C,A,correct,Incongruity,Hobby
1bmtc5u,anthropic/claude-opus-4-6,C,C,C,D,correct,Incongruity,Social conventions
1bsdc0l,anthropic/claude-opus-4-6,A,A,A,D,correct,Comparison,History/Mythology
1bw9tb7,anthropic/claude-opus-4-6,D,D,C,B,other_distractor,Comparison,General knowledge
1c1tpnf,anthropic/claude-opus-4-6,B,B,B,D,correct,Incongruity,meme
1c6zoan,anthropic/claude-opus-4-6,D,D,D,B,correct,Sarcasm/Irony,Pop culture
1c22s8b,anthropic/claude-opus-4-6,C,C,B,A,other_distractor,Incongruity,Pop culture
1c175gf,anthropic/claude-opus-4-6,A,A,B,D,other_distractor,Sarcasm/Irony,politics
1ccfha2,anthropic/claude-opus-4-6,D,D,A,B,other_distractor,Sarcasm/Irony,politics
1cehmmt,anthropic/claude-opus-4-6,B,B,B,A,correct,Situational,Pop culture
1cgcw31,anthropic/claude-opus-4-6,B,B,B,D,correct,Exaggeration,Pop culture
1jfy6ms,anthropic/claude-opus-4-6,A,A,A,C,correct,Wordplay,Pop culture
1eae89f,anthropic/claude-opus-4-6,D,D,D,B,correct,Exaggeration,Hobby
1iw42ka,anthropic/claude-opus-4-6,C,C,C,D,correct,Exaggeration,Pop culture
1k4fjdr,anthropic/claude-opus-4-6,A,A,A,D,correct,Wordplay,Logical
1l4mpmj,anthropic/claude-opus-4-6,A,A,A,D,correct,Situational,Social conventions
1k0el7w,anthropic/claude-opus-4-6,C,C,C,B,correct,Situational,Hobby
15h4szq,anthropic/claude-opus-4-6,D,D,D,C,correct,Comparison,History/Mythology
1k70gfk,anthropic/claude-opus-4-6,D,D,D,A,correct,Exaggeration,politics
1jaa0tw,anthropic/claude-opus-4-6,A,A,B,A,literal,Comparison,History/Mythology
1m0a4hv,anthropic/claude-opus-4-6,C,C,C,A,correct,Sarcasm/Irony,History/Mythology
1hvaqk7,anthropic/claude-opus-4-6,D,D,D,C,correct,Incongruity,meme
1kw3buz,anthropic/claude-opus-4-6,B,B,B,C,correct,Wordplay,Logical
